path,label,source,score,pred
experiments\data\normal_text\notifications\email_4298.txt,0,normal,-0.04066253901179351,0
experiments\data\anomaly_text\Resume\Resume (11).txt,1,anomaly,0.021130922740733304,1
experiments\data\normal_text\reports\report_3067.txt,0,normal,-0.04914274395383478,0
experiments\data\normal_text\notifications\email_6765.txt,0,normal,-0.036266618868721345,0
experiments\data\anomaly_text\Resume\Resume (5).txt,1,anomaly,0.033900558049651974,1
experiments\data\normal_text\notifications\email_4905.txt,0,normal,0.002516010987165973,1
experiments\data\normal_text\notifications\email_9323.txt,0,normal,-0.017506126003893785,0
experiments\data\normal_text\notifications\email_7864.txt,0,normal,-0.04373408245208116,0
experiments\data\anomaly_text\Code\Code (1) - Copy.txt,1,anomaly,-0.03375495178987231,0
experiments\data\normal_text\notifications\email_2331.txt,0,normal,-0.03783913047192489,0
experiments\data\normal_text\reports\report_5201.txt,0,normal,-0.04763245345136641,0
experiments\data\normal_text\notifications\email_9887.txt,0,normal,0.008210696600689738,1
experiments\data\anomaly_text\Code\Code (3).txt,1,anomaly,-0.03329521484927206,0
experiments\data\anomaly_text\Resume\Resume (8).txt,1,anomaly,0.000597886830260963,1
experiments\data\normal_text\reports\report_2892.txt,0,normal,-0.04823420635650694,0
experiments\data\normal_text\reports\report_8021.txt,0,normal,-0.04914274395383478,0
experiments\data\normal_text\reports\report_1753.txt,0,normal,-0.04914274395383478,0
experiments\data\normal_text\reports\report_2349.txt,0,normal,-0.045309094497075986,0
experiments\data\anomaly_text\Code\Code (4) - Copy.txt,1,anomaly,-0.021591823740832683,0
experiments\data\anomaly_text\OCRProblematic\OcrProblematic (1).txt,1,anomaly,-0.04073371252499686,0
experiments\data\normal_text\invoices\invoice_961_charspace_962.txt,0,normal,-0.028974301886683818,0
experiments\data\anomaly_text\Resume\Resume (6).txt,1,anomaly,0.06507099425798929,1
experiments\data\normal_text\notifications\email_1256.txt,0,normal,-0.02303101366763477,0
experiments\data\normal_text\reports\report_7977.txt,0,normal,-0.04914274395383478,0
experiments\data\normal_text\reports\report_6708.txt,0,normal,-0.04783178944598648,0
experiments\data\normal_text\notifications\email_9788.txt,0,normal,-0.02166635042521975,0
experiments\data\normal_text\notifications\email_8597.txt,0,normal,-0.03397226818018034,0
experiments\data\normal_text\reports\report_9708.txt,0,normal,-0.04914274395383478,0
experiments\data\normal_text\notifications\email_4874.txt,0,normal,-0.04244527558300293,0
experiments\data\normal_text\notifications\email_9036.txt,0,normal,0.020597170059134196,1
experiments\data\normal_text\reports\report_3471.txt,0,normal,-0.04718383705424467,0
experiments\data\anomaly_text\Resume\Resume (15).txt,1,anomaly,0.0024220955689543966,1
experiments\data\normal_text\reports\report_3440.txt,0,normal,-0.04914274395383478,0
experiments\data\anomaly_text\RandomText\randomText (11).txt,1,anomaly,-0.033707595115111344,0
experiments\data\normal_text\notifications\email_2938.txt,0,normal,-0.03173821295166723,0
experiments\data\anomaly_text\Resume\Resume (23).txt,1,anomaly,0.016827236782984534,1
experiments\data\normal_text\notifications\email_2837.txt,0,normal,-0.03449322091963786,0
experiments\data\normal_text\reports\report_736.txt,0,normal,-0.048339639293796366,0
experiments\data\normal_text\reports\report_7867.txt,0,normal,-0.04914274395383478,0
experiments\data\normal_text\reports\report_519.txt,0,normal,-0.04914274395383478,0
experiments\data\normal_text\reports\report_2490.txt,0,normal,-0.048517094894218404,0
experiments\data\normal_text\reports\report_2922.txt,0,normal,-0.047529842346415996,0
experiments\data\anomaly_text\Code\Code (6).txt,1,anomaly,-0.03516972866566359,0
experiments\data\normal_text\invoices\invoice_664_color_B_247.txt,0,normal,-0.03558492677788916,0
experiments\data\normal_text\notifications\email_6775.txt,0,normal,-0.04274530584786357,0
experiments\data\normal_text\notifications\email_608.txt,0,normal,-0.03135722654733075,0
experiments\data\normal_text\reports\report_6923.txt,0,normal,-0.04914274395383478,0
experiments\data\normal_text\reports\report_9662.txt,0,normal,-0.04914274395383478,0
experiments\data\normal_text\reports\report_5846.txt,0,normal,-0.046818846111290946,0
experiments\data\normal_text\reports\report_8576.txt,0,normal,-0.04540832593859562,0
experiments\data\normal_text\notifications\email_8045.txt,0,normal,0.023018658057372743,1
experiments\data\normal_text\reports\report_7659.txt,0,normal,-0.04805178831064988,0
experiments\data\normal_text\notifications\email_6322.txt,0,normal,0.2094053467799411,1
experiments\data\anomaly_text\Resume\Resume (17).txt,1,anomaly,0.000212492924200669,1
experiments\data\anomaly_text\Resume\Resume (25).txt,1,anomaly,0.02325319946663784,1
experiments\data\normal_text\invoices\invoice_933_color_B_243.txt,0,normal,-0.034199932121275145,0
experiments\data\normal_text\reports\report_5060.txt,0,normal,-0.04914274395383478,0
experiments\data\normal_text\reports\report_756.txt,0,normal,-0.04718383705424467,0
experiments\data\normal_text\notifications\email_3983.txt,0,normal,-0.018374143063108028,0
experiments\data\normal_text\invoices\invoice_102_color_B_240.txt,0,normal,-0.039943867721794424,0
experiments\data\normal_text\reports\report_7994.txt,0,normal,-0.04773506001140809,0
experiments\data\normal_text\reports\report_4829.txt,0,normal,-0.04914274395383478,0
experiments\data\normal_text\notifications\email_1408.txt,0,normal,-0.026602897293416028,0
experiments\data\normal_text\contracts\BerkshireHillsBancorpInc_20120809_10-Q_EX-10.16_7708169_EX-10.16_Endorsement Agreement.txt,0,normal,0.07142386747833346,1
experiments\data\anomaly_text\Resume\Resume (10).txt,1,anomaly,0.014273575718687093,1
experiments\data\normal_text\notifications\email_1417.txt,0,normal,0.0026208272885773765,1
